class,threshold,target_trials_passed,class_false_alert_ood_trials,class_false_alert_speech_trials,class_confusion_other_hazard_trials,overall_positive_passed,overall_ood_passed
thunderstorm,0.63,2,0,0,1,13,3
thunderstorm,0.64,2,0,0,1,13,3
thunderstorm,0.65,2,0,0,1,13,3
thunderstorm,0.66,2,0,0,0,13,3
thunderstorm,0.67,2,0,0,0,13,3
thunderstorm,0.68,2,0,0,0,13,3
thunderstorm,0.69,1,0,0,0,12,3
thunderstorm,0.7,1,0,0,0,12,3
thunderstorm,0.71,1,0,0,0,12,3
thunderstorm,0.72,1,0,0,0,12,3
thunderstorm,0.73,1,0,0,0,12,3
thunderstorm,0.74,1,0,0,0,12,3
thunderstorm,0.75,1,0,0,0,12,3
thunderstorm,0.76,1,0,0,0,12,3
thunderstorm,0.77,1,0,0,0,12,3
thunderstorm,0.78,1,0,0,0,12,3
thunderstorm,0.79,1,0,0,0,12,3
thunderstorm,0.8,1,0,0,0,12,3
thunderstorm,0.81,1,0,0,0,12,3
thunderstorm,0.82,1,0,0,0,12,3
thunderstorm,0.83,1,0,0,0,12,3
thunderstorm,0.84,1,0,0,0,12,3
thunderstorm,0.85,1,0,0,0,12,3
thunderstorm,0.86,1,0,0,0,12,3
thunderstorm,0.87,1,0,0,0,12,3
thunderstorm,0.88,0,0,0,0,11,3
thunderstorm,0.89,0,0,0,0,11,3
thunderstorm,0.9,0,0,0,0,11,3
thunderstorm,0.91,0,0,0,0,11,3
thunderstorm,0.92,0,0,0,0,11,3
thunderstorm,0.93,0,0,0,0,11,3
thunderstorm,0.94,0,0,0,0,11,3
thunderstorm,0.95,0,0,0,0,11,3
thunderstorm,0.96,0,0,0,0,11,3
thunderstorm,0.97,0,0,0,0,11,3
thunderstorm,0.98,0,0,0,0,11,3
thunderstorm,0.99,0,0,0,0,11,3
thunderstorm,1.0,0,0,0,0,11,3
